opportunity_id,account_id,owner_id,opportunity_stage,amount,expected_close_date,actual_close_date,created_at,sales_region,segment,revenue_model,lead_source,close_date_changes,last_activity_at
OPP_000001,ACC_00655,REP_015,Proposal,40662.83,2025-10-18,,2025-09-20,LATAM,Enterprise,Advertising,Inbound,0,2025-11-10
OPP_000002,ACC_00580,REP_004,Proposal,7247.32,2025-07-29,,2025-03-02,APAC,SMB,Enterprise Services,Marketing,0,2025-03-25
OPP_000003,ACC_00418,REP_011,Closed-Won,18778.17,2025-01-03,2025-02-07,2024-11-10,North America,Mid-Market,Subscription,Inbound,0,2024-11-15
OPP_000004,ACC_00768,REP_008,Closed-Lost,2500.0,2025-11-24,2025-08-01,2025-07-09,North America,SMB,Subscription,Marketing,0,2025-08-14
OPP_000005,ACC_00678,REP_028,Proposal,21599.64,2024-02-17,,2024-01-20,North America,Mid-Market,Usage-Based,Marketing,0,2024-05-15
OPP_000006,ACC_01000,REP_004,Prospecting,18445.97,2024-09-16,,2024-05-04,North America,SMB,Transactional,Inbound,0,2024-07-25
OPP_000007,ACC_00035,REP_011,Negotiation,10370.02,2025-08-14,,2025-06-13,North America,SMB,Enterprise Services,Partner,0,2025-08-01
OPP_000008,ACC_00267,REP_015,Closed-Won,12668.04,2025-12-12,2026-02-10,2025-10-18,EMEA,SMB,Subscription,Referral,0,2025-12-16
OPP_000009,ACC_00696,REP_030,Proposal,15623.38,2025-06-22,,2025-05-07,North America,Mid-Market,Subscription,Marketing,1,2025-06-16
OPP_000010,ACC_00689,REP_025,Closed-Won,2500.0,2024-02-15,2024-04-27,2024-01-09,North America,Mid-Market,Advertising,Partner,0,2024-04-25
OPP_000011,ACC_01083,REP_029,Negotiation,232314.31,2024-06-05,,2024-02-03,APAC,Enterprise,Transactional,Inbound,1,2024-03-28
OPP_000012,ACC_00810,REP_010,Qualification,30498.2,2025-09-09,,2025-08-11,EMEA,Enterprise,Transactional,Partner,1,2025-11-19
OPP_000013,ACC_00006,REP_009,Negotiation,23753.42,2025-02-18,,2024-11-30,EMEA,Enterprise,Advertising,Partner,0,2024-12-07
OPP_000014,ACC_00587,REP_018,Proposal,34896.64,2025-04-20,,2024-11-28,North America,SMB,Subscription,Partner,2,2025-01-25
OPP_000015,ACC_01015,REP_011,Closed-Won,23881.6,2025-12-17,2025-10-25,2025-10-06,North America,SMB,Subscription,Inbound,1,2025-12-17
OPP_000016,ACC_01048,REP_001,Prospecting,21441.12,2024-10-20,,2024-06-15,North America,Mid-Market,Subscription,Marketing,0,2024-09-03
OPP_000017,ACC_00963,REP_025,Closed-Won,19371.01,2024-10-27,2024-08-07,2024-07-09,EMEA,SMB,Advertising,Outbound,0,2024-07-12
OPP_000018,ACC_00573,REP_003,Qualification,5141.05,2025-08-05,,2025-04-04,North America,Mid-Market,Transactional,Inbound,0,2025-06-20
OPP_000019,ACC_00128,REP_006,Closed-Lost,8277.27,2026-01-18,2026-01-06,2025-08-28,North America,SMB,Subscription,Inbound,2,2025-12-06
OPP_000020,ACC_00256,REP_029,Closed-Won,59562.66,2024-10-04,2025-02-12,2024-09-02,North America,Mid-Market,Usage-Based,Inbound,0,2024-09-13
OPP_000021,ACC_01017,REP_022,Qualification,8290.44,2024-06-09,,2024-04-11,North America,Mid-Market,Subscription,Outbound,0,2024-05-21
OPP_000022,ACC_00409,REP_020,Closed-Lost,3307.11,2024-04-08,2024-07-11,2024-02-07,North America,SMB,Transactional,Inbound,2,2024-03-29
OPP_000023,ACC_00917,REP_004,Proposal,9708.6,2024-02-02,,2024-01-05,APAC,SMB,Subscription,Outbound,0,2024-02-05
OPP_000024,ACC_00044,REP_008,Proposal,9938.98,2024-10-10,,2024-09-07,North America,SMB,Enterprise Services,Inbound,0,2024-10-30
