org_id,created_at,industry,company_size,acquisition_source,region
org_00001,2025-08-27T00:00:00,Healthcare,Mid-Market,Product-Led,Europe
org_00002,2025-12-23T00:00:00,Retail,SMB,Paid Search,Latin America
org_00003,2025-11-27T00:00:00,Healthcare,SMB,Content,North America
org_00004,2025-10-08T00:00:00,Financial Services,SMB,Partner,North America
org_00005,2025-03-14T00:00:00,Education,SMB,Organic Search,North America
org_00006,2025-07-04T00:00:00,Financial Services,SMB,Referral,North America
org_00007,2025-09-21T00:00:00,Professional Services,SMB,Referral,North America
org_00008,2025-04-14T00:00:00,Technology,SMB,Product-Led,Asia-Pacific
org_00009,2025-12-18T00:00:00,Professional Services,Mid-Market,Product-Led,North America
org_00010,2025-04-26T00:00:00,Retail,SMB,Partner,North America
org_00011,2025-04-27T00:00:00,Retail,Mid-Market,Content,North America
org_00012,2025-10-21T00:00:00,Financial Services,Mid-Market,Organic Search,Latin America
org_00013,2025-06-28T00:00:00,Retail,SMB,Organic Search,Europe
org_00014,2025-08-20T00:00:00,Financial Services,SMB,Organic Search,North America
org_00015,2025-03-02T00:00:00,Healthcare,SMB,Organic Search,North America
org_00016,2025-07-15T00:00:00,Technology,Mid-Market,Organic Search,North America
org_00017,2025-03-29T00:00:00,Retail,Enterprise,Partner,Asia-Pacific
org_00018,2025-03-15T00:00:00,Financial Services,Mid-Market,Content,Europe
org_00019,2025-10-13T00:00:00,Technology,Enterprise,Referral,North America
org_00020,2025-10-10T00:00:00,Financial Services,SMB,Partner,North America
org_00021,2025-12-20T00:00:00,Healthcare,SMB,Content,North America
org_00022,2025-11-05T00:00:00,Financial Services,Mid-Market,Product-Led,North America
org_00023,2025-10-01T00:00:00,Education,Enterprise,Organic Search,Europe
org_00024,2025-12-24T00:00:00,Professional Services,Mid-Market,Referral,North America
org_00025,2025-02-04T00:00:00,Professional Services,SMB,Content,Europe
org_00026,2025-09-26T00:00:00,Financial Services,SMB,Partner,North America
org_00027,2025-05-14T00:00:00,Financial Services,SMB,Referral,North America
org_00028,2025-08-13T00:00:00,Technology,Mid-Market,Paid Search,Europe
org_00029,2025-01-04T00:00:00,Healthcare,SMB,Organic Search,North America
org_00030,2025-02-26T00:00:00,Professional Services,Enterprise,Partner,Europe
org_00031,2025-12-04T00:00:00,Technology,SMB,Organic Search,North America
org_00032,2025-04-11T00:00:00,Financial Services,SMB,Paid Search,Europe
org_00033,2025-12-18T00:00:00,Education,SMB,Paid Search,North America
org_00034,2025-06-23T00:00:00,Professional Services,SMB,Organic Search,Europe
org_00035,2025-05-21T00:00:00,Healthcare,Mid-Market,Paid Search,North America
org_00036,2025-10-12T00:00:00,Professional Services,SMB,Paid Search,North America
org_00037,2025-03-01T00:00:00,Professional Services,Mid-Market,Product-Led,North America
org_00038,2025-02-16T00:00:00,Healthcare,Enterprise,Referral,North America
org_00039,2025-12-17T00:00:00,Retail,SMB,Product-Led,North America
org_00040,2025-03-16T00:00:00,Professional Services,SMB,Paid Search,Europe
org_00041,2025-04-21T00:00:00,Retail,Mid-Market,Product-Led,Latin America
org_00042,2025-03-31T00:00:00,Education,Mid-Market,Paid Search,Europe
org_00043,2025-11-03T00:00:00,Retail,SMB,Product-Led,Europe
org_00044,2025-05-26T00:00:00,Healthcare,SMB,Organic Search,North America
org_00045,2025-06-15T00:00:00,Education,Enterprise,Referral,North America
org_00046,2025-04-14T00:00:00,Retail,SMB,Referral,Latin America
org_00047,2025-10-23T00:00:00,Professional Services,SMB,Product-Led,Latin America
org_00048,2025-02-12T00:00:00,Healthcare,SMB,Product-Led,North America
org_00049,2025-02-20T00:00:00,Healthcare,SMB,Referral,North America
org_00050,2025-03-03T00:00:00,Healthcare,Mid-Market,Product-Led,North America
org_00051,2025-01-17T00:00:00,Financial Services,SMB,Paid Search,Latin America
org_00052,2025-04-16T00:00:00,Financial Services,SMB,Product-Led,Europe
org_00053,2025-11-23T00:00:00,Retail,SMB,Content,North America
org_00054,2025-03-14T00:00:00,Retail,SMB,Partner,Asia-Pacific
org_00055,2025-09-01T00:00:00,Healthcare,SMB,Content,Europe
org_00056,2025-09-06T00:00:00,Healthcare,SMB,Product-Led,North America
org_00057,2025-02-28T00:00:00,Professional Services,SMB,Product-Led,Latin America
org_00058,2025-08-01T00:00:00,Healthcare,SMB,Content,North America
org_00059,2025-01-14T00:00:00,Healthcare,Enterprise,Organic Search,Europe
org_00060,2025-10-16T00:00:00,Professional Services,SMB,Paid Search,Latin America
org_00061,2025-11-13T00:00:00,Education,Enterprise,Product-Led,North America
org_00062,2025-07-27T00:00:00,Education,SMB,Organic Search,Asia-Pacific
org_00063,2025-01-25T00:00:00,Financial Services,SMB,Organic Search,Latin America
org_00064,2025-01-23T00:00:00,Financial Services,Mid-Market,Content,Europe
org_00065,2025-08-19T00:00:00,Education,SMB,Product-Led,North America
org_00066,2025-09-30T00:00:00,Education,SMB,Product-Led,North America
org_00067,2025-07-20T00:00:00,Healthcare,SMB,Partner,Europe
org_00068,2025-04-25T00:00:00,Technology,SMB,Paid Search,North America
org_00069,2025-12-30T00:00:00,Education,SMB,Paid Search,North America
org_00070,2025-03-06T00:00:00,Retail,SMB,Organic Search,Europe
org_00071,2025-08-27T00:00:00,Healthcare,SMB,Product-Led,North America
org_00072,2025-04-04T00:00:00,Technology,SMB,Organic Search,Europe
org_00073,2025-11-10T00:00:00,Healthcare,SMB,Partner,Latin America
org_00074,2025-01-26T00:00:00,Retail,SMB,Organic Search,North America
org_00075,2025-03-31T00:00:00,Healthcare,SMB,Partner,Europe
org_00076,2025-09-05T00:00:00,Retail,Enterprise,Paid Search,North America
org_00077,2025-06-13T00:00:00,Technology,SMB,Partner,North America
org_00078,2025-02-26T00:00:00,Education,Mid-Market,Organic Search,Europe
org_00079,2025-06-20T00:00:00,Education,SMB,Organic Search,North America
org_00080,2025-10-03T00:00:00,Financial Services,Enterprise,Paid Search,North America
org_00081,2025-06-10T00:00:00,Technology,SMB,Content,Europe
org_00082,2025-06-12T00:00:00,Retail,Mid-Market,Organic Search,North America
org_00083,2025-01-27T00:00:00,Technology,Enterprise,Organic Search,Latin America
org_00084,2025-05-12T00:00:00,Technology,Mid-Market,Content,Europe
org_00085,2025-10-06T00:00:00,Professional Services,Enterprise,Content,North America
org_00086,2025-09-14T00:00:00,Financial Services,SMB,Product-Led,North America
org_00087,2025-08-14T00:00:00,Technology,SMB,Product-Led,North America
org_00088,2025-04-15T00:00:00,Financial Services,SMB,Content,North America
org_00089,2025-12-24T00:00:00,Education,SMB,Partner,North America
org_00090,2025-07-04T00:00:00,Technology,SMB,Product-Led,North America
org_00091,2025-09-28T00:00:00,Technology,SMB,Content,North America
org_00092,2025-09-17T00:00:00,Healthcare,Enterprise,Organic Search,North America
org_00093,2025-10-10T00:00:00,Healthcare,Mid-Market,Content,Asia-Pacific
org_00094,2025-04-09T00:00:00,Financial Services,SMB,Content,North America
org_00095,2025-12-20T00:00:00,Retail,SMB,Organic Search,Asia-Pacific
org_00096,2025-04-05T00:00:00,Professional Services,Enterprise,Paid Search,Europe
org_00097,2025-05-04T00:00:00,Financial Services,SMB,Partner,Asia-Pacific
org_00098,2025-08-03T00:00:00,Technology,SMB,Partner,North America
org_00099,2025-11-11T00:00:00,Technology,SMB,Paid Search,Europe
org_00100,2025-04-25T00:00:00,Financial Services,Enterprise,Content,North America
org_00101,2025-08-13T00:00:00,Retail,SMB,Organic Search,North America
org_00102,2025-09-23T00:00:00,Technology,Mid-Market,Product-Led,Asia-Pacific
org_00103,2025-10-18T00:00:00,Retail,SMB,Organic Search,Asia-Pacific
org_00104,2025-07-24T00:00:00,Technology,SMB,Referral,Latin America
org_00105,2025-07-22T00:00:00,Education,SMB,Paid Search,North America
org_00106,2025-10-04T00:00:00,Retail,Mid-Market,Paid Search,Europe
org_00107,2025-06-25T00:00:00,Healthcare,SMB,Referral,Europe
org_00108,2025-05-20T00:00:00,Education,Enterprise,Organic Search,North America
org_00109,2025-08-25T00:00:00,Education,Enterprise,Content,North America
org_00110,2025-06-08T00:00:00,Technology,Enterprise,Product-Led,Latin America
org_00111,2025-02-12T00:00:00,Financial Services,Mid-Market,Content,Europe
org_00112,2025-12-06T00:00:00,Technology,Mid-Market,Product-Led,North America
org_00113,2025-02-07T00:00:00,Technology,SMB,Referral,North America
org_00114,2025-12-29T00:00:00,Technology,SMB,Content,Asia-Pacific
org_00115,2025-03-24T00:00:00,Retail,SMB,Paid Search,North America
org_00116,2025-09-28T00:00:00,Financial Services,SMB,Paid Search,North America
org_00117,2025-10-22T00:00:00,Healthcare,SMB,Partner,Asia-Pacific
org_00118,2025-02-03T00:00:00,Professional Services,SMB,Paid Search,Asia-Pacific
org_00119,2025-07-26T00:00:00,Education,Mid-Market,Referral,Latin America
org_00120,2025-09-04T00:00:00,Professional Services,Enterprise,Partner,Asia-Pacific
org_00121,2025-08-21T00:00:00,Financial Services,SMB,Referral,Europe
org_00122,2025-06-02T00:00:00,Technology,Mid-Market,Organic Search,Europe
org_00123,2025-12-15T00:00:00,Professional Services,SMB,Product-Led,Europe
org_00124,2025-07-10T00:00:00,Healthcare,SMB,Organic Search,Asia-Pacific
org_00125,2025-12-24T00:00:00,Healthcare,SMB,Content,North America
org_00126,2025-05-01T00:00:00,Education,SMB,Organic Search,North America
org_00127,2025-07-18T00:00:00,Retail,Mid-Market,Organic Search,Latin America
org_00128,2025-07-08T00:00:00,Education,SMB,Referral,North America
org_00129,2025-02-28T00:00:00,Professional Services,SMB,Referral,Europe
org_00130,2025-04-29T00:00:00,Education,Enterprise,Organic Search,Asia-Pacific
org_00131,2025-09-29T00:00:00,Education,SMB,Paid Search,Europe
org_00132,2025-08-12T00:00:00,Retail,Mid-Market,Referral,North America
org_00133,2025-02-21T00:00:00,Professional Services,Mid-Market,Content,Europe
org_00134,2025-07-12T00:00:00,Professional Services,Mid-Market,Referral,Latin America
org_00135,2025-04-08T00:00:00,Education,Mid-Market,Partner,North America
org_00136,2025-06-12T00:00:00,Healthcare,Mid-Market,Partner,Latin America
org_00137,2025-04-27T00:00:00,Healthcare,Enterprise,Content,North America
org_00138,2025-12-18T00:00:00,Education,Enterprise,Referral,Europe
org_00139,2025-03-04T00:00:00,Technology,SMB,Partner,Europe
org_00140,2025-04-04T00:00:00,Technology,Mid-Market,Referral,North America
org_00141,2025-01-13T00:00:00,Financial Services,Mid-Market,Partner,Asia-Pacific
org_00142,2025-12-11T00:00:00,Technology,Enterprise,Partner,Europe
org_00143,2025-09-23T00:00:00,Education,SMB,Organic Search,North America
org_00144,2025-09-28T00:00:00,Education,Enterprise,Product-Led,North America
org_00145,2025-08-11T00:00:00,Technology,SMB,Paid Search,North America
org_00146,2025-06-13T00:00:00,Retail,SMB,Paid Search,North America
org_00147,2025-10-23T00:00:00,Professional Services,SMB,Referral,North America
org_00148,2025-04-29T00:00:00,Technology,Enterprise,Product-Led,Europe
org_00149,2025-12-11T00:00:00,Retail,SMB,Partner,North America
org_00150,2025-11-26T00:00:00,Education,SMB,Paid Search,Asia-Pacific
org_00151,2025-01-15T00:00:00,Professional Services,SMB,Referral,North America
org_00152,2025-02-20T00:00:00,Retail,SMB,Product-Led,Europe
org_00153,2025-09-13T00:00:00,Professional Services,SMB,Product-Led,North America
org_00154,2025-04-10T00:00:00,Education,SMB,Paid Search,North America
org_00155,2025-09-05T00:00:00,Retail,SMB,Referral,Europe
org_00156,2025-05-30T00:00:00,Financial Services,SMB,Product-Led,Latin America
org_00157,2025-09-19T00:00:00,Healthcare,SMB,Paid Search,Europe
org_00158,2025-09-05T00:00:00,Technology,SMB,Organic Search,Asia-Pacific
org_00159,2025-12-22T00:00:00,Retail,SMB,Organic Search,Asia-Pacific
org_00160,2025-02-26T00:00:00,Technology,Mid-Market,Partner,Asia-Pacific
org_00161,2025-09-29T00:00:00,Retail,Mid-Market,Product-Led,North America
org_00162,2025-07-29T00:00:00,Financial Services,Mid-Market,Paid Search,North America
org_00163,2025-11-20T00:00:00,Technology,Mid-Market,Organic Search,Latin America
org_00164,2025-06-02T00:00:00,Professional Services,SMB,Product-Led,Asia-Pacific
org_00165,2025-05-17T00:00:00,Professional Services,Mid-Market,Referral,North America
org_00166,2025-12-14T00:00:00,Financial Services,SMB,Referral,North America
org_00167,2025-11-24T00:00:00,Financial Services,Mid-Market,Partner,Asia-Pacific
org_00168,2025-02-02T00:00:00,Retail,SMB,Paid Search,North America
org_00169,2025-08-30T00:00:00,Financial Services,Mid-Market,Partner,North America
org_00170,2025-08-27T00:00:00,Education,Mid-Market,Paid Search,North America
org_00171,2025-09-08T00:00:00,Healthcare,Mid-Market,Content,North America
org_00172,2025-07-08T00:00:00,Professional Services,Mid-Market,Paid Search,North America
org_00173,2025-03-22T00:00:00,Retail,SMB,Paid Search,Europe
org_00174,2025-11-17T00:00:00,Healthcare,Mid-Market,Product-Led,North America
org_00175,2025-06-28T00:00:00,Professional Services,SMB,Product-Led,North America
org_00176,2025-06-05T00:00:00,Technology,SMB,Product-Led,Latin America
org_00177,2025-11-18T00:00:00,Retail,Enterprise,Content,North America
org_00178,2025-06-05T00:00:00,Education,SMB,Content,North America
org_00179,2025-08-25T00:00:00,Retail,SMB,Content,North America
org_00180,2025-11-07T00:00:00,Technology,Enterprise,Partner,Latin America
org_00181,2025-06-20T00:00:00,Education,SMB,Product-Led,Europe
org_00182,2025-04-25T00:00:00,Professional Services,SMB,Product-Led,Asia-Pacific
org_00183,2025-10-19T00:00:00,Financial Services,Mid-Market,Content,North America
org_00184,2025-01-08T00:00:00,Technology,SMB,Organic Search,North America
