lead_id,account_id,lead_source,campaign,channel,created_at,lifecycle_stage,company_size,segment
LEAD_000001,ACC_00332,Organic,Product Blog,Organic,2024-03-07,MQL,1-99,SMB
LEAD_000002,ACC_00118,Paid Search,Search - Brand,Paid Search,2024-09-30,Lead,100-999,Mid-Market
LEAD_000003,ACC_01158,Organic,SEO,Organic,2024-09-11,Lead,1-99,SMB
LEAD_000004,ACC_00445,Organic,Product Blog,Organic,2024-09-08,Converted,1-99,SMB
LEAD_000005,ACC_01007,Outbound,Named Account Outreach,Outbound,2025-10-04,Lead,1000+,Enterprise
LEAD_000006,ACC_00750,Partner,Cloud Partner,Partner,2024-01-05,Lead,1000+,Enterprise
LEAD_000007,ACC_00795,Organic,SEO,Organic,2025-01-29,Lead,1-99,SMB
LEAD_000008,ACC_00937,Outbound,SDR Outbound,Outbound,2025-12-18,Converted,1000+,Enterprise
LEAD_000009,ACC_00319,Referral,Customer Referral,Referral,2025-10-01,SQL,1-99,SMB
LEAD_000010,ACC_00262,Referral,Customer Referral,Referral,2025-03-19,MQL,1000+,Enterprise
LEAD_000011,ACC_01197,Events,Executive Roundtable,Events,2025-12-30,Converted,1-99,SMB
LEAD_000012,ACC_00802,Referral,Employee Referral,Referral,2024-10-21,Lead,1-99,SMB
LEAD_000013,ACC_00351,Partner,Cloud Partner,Partner,2025-03-22,Converted,100-999,Mid-Market
LEAD_000014,ACC_00776,Referral,Customer Referral,Referral,2025-02-01,MQL,1000+,Enterprise
LEAD_000015,ACC_00473,Referral,Customer Referral,Referral,2024-02-04,Lead,1-99,SMB
LEAD_000016,ACC_01032,Paid Search,Search - Brand,Paid Search,2024-01-30,Lead,100-999,Mid-Market
LEAD_000017,ACC_00610,Events,Industry Conference,Events,2025-10-17,Converted,1-99,SMB
LEAD_000018,ACC_00377,Events,Executive Roundtable,Events,2024-05-06,Converted,1000+,Enterprise
LEAD_000019,ACC_00829,Outbound,SDR Outbound,Outbound,2024-09-16,MQL,1000+,Enterprise
LEAD_000020,ACC_00901,Referral,Customer Referral,Referral,2025-03-31,Lead,1-99,SMB
LEAD_000021,ACC_00448,Paid Search,Search - Competitor,Paid Search,2025-02-24,Lead,100-999,Mid-Market
LEAD_000022,ACC_00903,Paid Social,Paid Social Retargeting,Paid Social,2025-01-10,Lead,1-99,SMB
LEAD_000023,ACC_00281,Partner,Technology Partner,Partner,2025-12-16,Lead,1-99,SMB
LEAD_000024,ACC_00288,Outbound,Named Account Outreach,Outbound,2025-07-29,Lead,1-99,SMB
LEAD_000025,ACC_00992,Events,Industry Conference,Events,2025-11-19,MQL,100-999,Mid-Market
LEAD_000026,ACC_00746,Events,Webinar,Events,2025-04-26,MQL,100-999,Mid-Market
LEAD_000027,ACC_00043,Outbound,Named Account Outreach,Outbound,2025-12-16,Converted,100-999,Mid-Market
LEAD_000028,ACC_00811,Referral,Customer Referral,Referral,2025-03-15,MQL,1-99,SMB
LEAD_000029,ACC_00368,Organic,SEO,Organic,2025-01-31,Lead,100-999,Mid-Market
LEAD_000030,ACC_00330,Referral,Employee Referral,Referral,2025-08-18,MQL,1-99,SMB
LEAD_000031,ACC_00509,Organic,Content Hub,Organic,2025-09-27,Lead,100-999,Mid-Market
LEAD_000032,ACC_00543,Partner,Reseller,Partner,2024-02-19,SQL,1000+,Enterprise
LEAD_000033,ACC_01071,Organic,SEO,Organic,2025-10-27,SQL,1000+,Enterprise
LEAD_000034,ACC_00523,Partner,Cloud Partner,Partner,2025-05-20,Lead,1-99,SMB
LEAD_000035,ACC_00357,Paid Search,Search - Nonbrand,Paid Search,2025-10-18,Lead,100-999,Mid-Market
LEAD_000036,ACC_00929,Organic,SEO,Organic,2025-06-07,SQL,100-999,Mid-Market
LEAD_000037,ACC_00652,Partner,Cloud Partner,Partner,2025-11-08,MQL,1000+,Enterprise
LEAD_000038,ACC_00001,Outbound,Named Account Outreach,Outbound,2024-07-20,MQL,100-999,Mid-Market
LEAD_000039,ACC_00759,Organic,SEO,Organic,2024-05-17,SQL,1-99,SMB
LEAD_000040,ACC_00602,Outbound,Named Account Outreach,Outbound,2024-05-23,MQL,100-999,Mid-Market
LEAD_000041,ACC_00690,Organic,Content Hub,Organic,2024-07-03,Lead,100-999,Mid-Market
LEAD_000042,ACC_00222,Organic,Product Blog,Organic,2024-06-05,SQL,100-999,Mid-Market
LEAD_000043,ACC_00575,Organic,Content Hub,Organic,2024-11-18,Converted,1000+,Enterprise
LEAD_000044,ACC_00777,Partner,Cloud Partner,Partner,2024-05-24,Lead,100-999,Mid-Market
LEAD_000045,ACC_00813,Outbound,Named Account Outreach,Outbound,2024-04-25,Lead,1000+,Enterprise
LEAD_000046,ACC_00817,Partner,Technology Partner,Partner,2025-01-17,MQL,1000+,Enterprise
LEAD_000047,,Events,Industry Conference,Events,2025-08-02,MQL,100-999,Mid-Market
LEAD_000048,ACC_00602,Partner,Reseller,Partner,2024-04-09,Lead,100-999,Mid-Market
LEAD_000049,ACC_00516,Events,Industry Conference,Events,2025-01-08,MQL,1-99,SMB
LEAD_000050,ACC_00651,Referral,Employee Referral,Referral,2025-04-26,MQL,1-99,SMB
LEAD_000051,ACC_00395,Paid Search,Search - Competitor,Paid Search,2025-05-30,MQL,1-99,SMB
LEAD_000052,ACC_00379,Organic,Product Blog,Organic,2024-03-17,Lead,1-99,SMB
LEAD_000053,ACC_00829,Organic,Content Hub,Organic,2025-06-20,Lead,1000+,Enterprise
LEAD_000054,ACC_00376,Partner,Technology Partner,Partner,2024-01-20,Lead,1-99,SMB
LEAD_000055,ACC_00899,Partner,Cloud Partner,Partner,2024-06-22,Converted,1-99,SMB
LEAD_000056,ACC_00895,Organic,Product Blog,Organic,2024-08-21,MQL,100-999,Mid-Market
LEAD_000057,ACC_01145,Referral,Customer Referral,Referral,2025-09-15,Lead,1-99,SMB
LEAD_000058,ACC_00159,Referral,Customer Referral,Referral,2024-05-20,Converted,100-999,Mid-Market
LEAD_000059,ACC_00436,Paid Search,Search - Competitor,Paid Search,2025-07-25,Lead,1-99,SMB
LEAD_000060,ACC_00926,Organic,SEO,Organic,2025-12-23,MQL,1-99,SMB
LEAD_000061,ACC_00516,Organic,Content Hub,Organic,2025-12-02,Lead,1-99,SMB
LEAD_000062,ACC_00787,Paid Search,Search - Brand,Paid Search,2024-08-09,SQL,100-999,Mid-Market
LEAD_000063,ACC_00883,Events,Industry Conference,Events,2024-03-10,MQL,1000+,Enterprise
LEAD_000064,ACC_01062,Partner,Cloud Partner,Partner,2024-06-11,SQL,100-999,Mid-Market
LEAD_000065,ACC_00272,Organic,Content Hub,Organic,2025-07-16,Lead,1-99,SMB
LEAD_000066,ACC_00313,Paid Social,LinkedIn Demand Gen,Paid Social,2024-05-23,Lead,1-99,SMB
LEAD_000067,ACC_00566,Organic,Content Hub,Organic,2025-04-16,Lead,100-999,Mid-Market
LEAD_000068,ACC_00608,Paid Social,Paid Social Retargeting,Paid Social,2024-09-30,Converted,1-99,SMB
LEAD_000069,ACC_01087,Paid Social,LinkedIn Demand Gen,Paid Social,2025-07-14,Lead,100-999,Mid-Market
LEAD_000070,ACC_00047,Partner,Cloud Partner,Partner,2025-03-18,MQL,1-99,SMB
LEAD_000071,ACC_00295,Partner,Reseller,Partner,2025-03-04,MQL,1000+,Enterprise
LEAD_000072,ACC_01096,Events,Webinar,Events,2025-07-25,Lead,1-99,SMB
LEAD_000073,ACC_00738,Organic,SEO,Organic,2025-11-29,Lead,1-99,SMB
LEAD_000074,ACC_00811,Outbound,Named Account Outreach,Outbound,2024-09-23,Lead,1-99,SMB
LEAD_000075,ACC_00300,Organic,Product Blog,Organic,2025-01-21,MQL,100-999,Mid-Market
LEAD_000076,ACC_00748,Paid Search,Search - Competitor,Paid Search,2025-04-02,Converted,1-99,SMB
LEAD_000077,ACC_00444,Events,Executive Roundtable,Events,2025-08-24,Lead,1-99,SMB
LEAD_000078,ACC_00880,Outbound,SDR Outbound,Outbound,2024-12-18,Converted,100-999,Mid-Market
LEAD_000079,ACC_00109,Organic,Product Blog,Organic,2024-09-30,Lead,1-99,SMB
LEAD_000080,ACC_00342,Paid Social,Paid Social Retargeting,Paid Social,2025-09-10,Lead,1000+,Enterprise
