account_id,account_name,company_size,segment,industry,sales_region,revenue_model,account_created_at,account_status
ACC_00001,Cobalt Partners 0001,100-999,Mid-Market,Media,North America,Subscription,2024-01-05,Customer
ACC_00002,Cobalt Networks 0002,1-99,SMB,Financial Services,North America,Subscription,2025-02-18,Customer
ACC_00003,Atlas Labs 0003,1000+,Enterprise,Software,North America,Advertising,2025-06-29,Prospect
ACC_00004,Summit Partners 0004,100-999,Mid-Market,Media,North America,Subscription,2025-02-06,Customer
ACC_00005,Northstar Systems 0005,1-99,SMB,Professional Services,APAC,Subscription,2024-10-07,Customer
ACC_00006,Pioneer Partners 0006,1000+,Enterprise,Software,EMEA,Advertising,2025-08-28,Customer
ACC_00007,Cobalt Networks 0007,100-999,Mid-Market,Software,North America,Transactional,2024-09-28,Prospect
ACC_00008,BluePeak Systems 0008,100-999,Mid-Market,Healthcare,EMEA,Usage-Based,2025-06-03,Customer
ACC_00009,Pioneer Systems 0009,1-99,SMB,Software,North America,Transactional,2024-12-05,Prospect
ACC_00010,Nova Partners 0010,1-99,SMB,Media,EMEA,Usage-Based,2024-01-20,Prospect
ACC_00011,Summit Group 0011,1-99,SMB,Professional Services,North America,Transactional,2025-01-22,Prospect
ACC_00012,Pioneer Solutions 0012,1000+,Enterprise,Media,EMEA,Transactional,2024-02-06,Customer
ACC_00013,Atlas Partners 0013,100-999,Mid-Market,Financial Services,North America,Subscription,2025-11-11,Customer
ACC_00014,Atlas Networks 0014,1000+,Enterprise,Financial Services,LATAM,Advertising,2025-03-15,Prospect
ACC_00015,BluePeak Labs 0015,1-99,SMB,Media,North America,Subscription,2024-09-28,Customer
ACC_00016,Apex Networks 0016,1-99,SMB,Software,North America,Subscription,2024-12-21,Customer
ACC_00017,Nova Solutions 0017,100-999,Mid-Market,Healthcare,North America,Subscription,2025-03-28,Customer
ACC_00018,Summit Systems 0018,1-99,SMB,Retail,North America,Usage-Based,2024-07-09,Customer
ACC_00019,BluePeak Group 0019,1000+,Enterprise,Media,North America,Transactional,2024-07-29,Customer
ACC_00020,Atlas Labs 0020,100-999,Mid-Market,Financial Services,EMEA,Enterprise Services,2024-11-02,Customer
ACC_00021,Pioneer Group 0021,100-999,Mid-Market,Media,EMEA,Enterprise Services,2024-07-08,Churned
ACC_00022,Pioneer Partners 0022,1-99,SMB,Media,North America,Usage-Based,2025-07-08,Customer
ACC_00023,BluePeak Technologies 0023,1000+,Enterprise,Financial Services,EMEA,Subscription,2024-03-16,Customer
ACC_00024,Vertex Technologies 0024,1000+,Enterprise,Retail,EMEA,Usage-Based,2025-08-27,Customer
ACC_00025,Vertex Group 0025,100-999,Mid-Market,Software,North America,Usage-Based,2024-09-11,Customer
ACC_00026,Atlas Systems 0026,1-99,SMB,Retail,North America,Usage-Based,2025-02-14,Prospect
ACC_00027,Pioneer Labs 0027,1-99,SMB,Financial Services,North America,Subscription,2024-04-25,Customer
ACC_00028,Apex Solutions 0028,1-99,SMB,Software,North America,Subscription,2024-10-08,Customer
ACC_00029,Northstar Networks 0029,1-99,SMB,Healthcare,APAC,Enterprise Services,2025-07-05,Churned
ACC_00030,Cobalt Group 0030,100-999,Mid-Market,Healthcare,LATAM,Subscription,2024-07-16,Customer
ACC_00031,Atlas Partners 0031,100-999,Mid-Market,Software,EMEA,Subscription,2024-04-06,Customer
ACC_00032,Pioneer Systems 0032,1000+,Enterprise,Financial Services,North America,Subscription,2025-01-16,Churned
ACC_00033,Pioneer Labs 0033,1-99,SMB,Software,EMEA,Subscription,2024-04-28,Customer
ACC_00034,Pioneer Labs 0034,1-99,SMB,Media,EMEA,Subscription,2024-08-18,Prospect
ACC_00035,Vertex Solutions 0035,1-99,SMB,Retail,North America,Enterprise Services,2024-11-25,Prospect
ACC_00036,Vertex Networks 0036,1-99,SMB,Software,APAC,Usage-Based,2025-02-16,Prospect
ACC_00037,Nova Networks 0037,1-99,SMB,Financial Services,North America,Usage-Based,2025-04-12,Prospect
ACC_00038,Harbor Systems 0038,1-99,SMB,Professional Services,North America,Subscription,2025-05-09,Customer
ACC_00039,Pioneer Labs 0039,1-99,SMB,Financial Services,North America,Subscription,2025-09-09,Customer
ACC_00040,BluePeak Networks 0040,100-999,Mid-Market,Media,North America,Subscription,2024-02-18,Customer
ACC_00041,Apex Group 0041,1-99,SMB,Retail,APAC,Subscription,2024-09-21,Prospect
ACC_00042,Summit Solutions 0042,1000+,Enterprise,Financial Services,North America,Subscription,2024-01-01,Customer
ACC_00043,Cobalt Partners 0043,100-999,Mid-Market,Financial Services,North America,Transactional,2024-01-07,Prospect
ACC_00044,Atlas Technologies 0044,1-99,SMB,Software,North America,Enterprise Services,2024-06-04,Churned
ACC_00045,Pioneer Partners 0045,1000+,Enterprise,Media,North America,Advertising,2025-03-13,Prospect
ACC_00046,Summit Solutions 0046,100-999,Mid-Market,Retail,North America,Subscription,2025-10-15,Customer
ACC_00047,Vertex Technologies 0047,1-99,SMB,Retail,North America,Subscription,2025-07-19,Prospect
ACC_00048,Pioneer Networks 0048,1-99,SMB,Software,EMEA,Subscription,2025-04-17,Customer
ACC_00049,Cobalt Solutions 0049,100-999,Mid-Market,Media,North America,Subscription,2025-07-22,Prospect
ACC_00050,Nova Labs 0050,1-99,SMB,Financial Services,APAC,Advertising,2024-05-05,Customer
ACC_00051,Summit Solutions 0051,1-99,SMB,Healthcare,North America,Subscription,2025-09-05,Prospect
ACC_00052,Atlas Systems 0052,1-99,SMB,Professional Services,EMEA,Advertising,2025-10-12,Customer
ACC_00053,Apex Networks 0053,100-999,Mid-Market,Media,APAC,Usage-Based,2024-03-10,Customer
ACC_00054,Northstar Partners 0054,100-999,Mid-Market,Healthcare,North America,Subscription,2024-12-09,Customer
ACC_00055,Cobalt Networks 0055,100-999,Mid-Market,Professional Services,North America,Subscription,2025-08-29,Customer
ACC_00056,Apex Technologies 0056,100-999,Mid-Market,Financial Services,LATAM,Subscription,2024-12-14,Churned
ACC_00057,Atlas Networks 0057,1-99,SMB,Professional Services,North America,Subscription,2025-09-06,Prospect
ACC_00058,Vertex Labs 0058,100-999,Mid-Market,Healthcare,EMEA,Advertising,2025-11-14,Prospect
ACC_00059,Apex Labs 0059,1-99,SMB,Retail,North America,Usage-Based,2024-12-12,Prospect
ACC_00060,BluePeak Labs 0060,1-99,SMB,Financial Services,North America,Usage-Based,2024-02-13,Prospect
